,Columna_1,Columna_3,Columna_4,Columna_5,columna_6,Columna_7,Columna_8,Columna_9,Columna_10
0,1,66,3,1220,2,112,2,54,2
1,2,55,3,1346,2,102,2,57,2
2,3,40,2,1379,2,89,1,63,1
3,4,13,1,1384,2,74,1,72,1
4,5,6,1,1406,2,78,1,81,1
5,6,11,1,1399,2,91,1,90,1
6,7,9,1,1385,2,259,2,264,2
7,8,9,1,1389,2,214,2,257,2
8,9,8,1,1391,2,201,2,253,2
9,10,2,1,1412,1,207,2,249,2
10,11,6,1,1400,2,236,2,246,2
11,12,6,1,1401,2,191,2,241,2
12,13,7,1,1411,2,184,2,239,2
13,14,8,1,1409,2,186,2,239,2
14,15,10,1,1407,1,229,2,237,2
15,16,10,1,1410,1,223,2,232,2
16,17,29,2,1414,2,103,2,228,2
17,18,25,2,1416,2,246,2,225,2
18,19,7,1,1434,2,181,2,223,2
19,20,7,1,1432,2,172,2,221,2
20,21,6,1,1434,2,181,2,221,2
21,22,6,1,1438,2,176,2,219,2
22,23,6,1,1442,2,180,2,217,2
23,24,6,1,1445,2,182,2,215,2
24,25,9,1,1451,1,195,2,214,2
25,26,9,1,1452,1,196,2,213,2
26,27,9,1,1462,1,204,2,212,2
27,28,8,1,1468,1,191,2,209,2
28,29,2,1,1484,1,187,2,207,2
29,30,2,1,1491,1,194,2,207,2
30,31,0,1,1482,2,190,2,207,2
31,32,2,1,1473,1,191,2,207,2
32,33,2,1,1469,1,192,2,209,2
33,34,2,1,1457,2,194,2,208,2
34,35,3,1,1452,2,194,2,207,2
35,36,2,1,1448,2,193,2,208,2
36,37,0,1,1436,2,191,2,208,2
37,38,0,1,1418,2,201,2,208,2
38,39,2,1,1406,2,199,2,208,2
39,40,4,1,1402,2,202,2,206,2
40,41,5,1,1398,2,207,2,206,2
41,42,6,1,1387,2,214,2,205,2
42,43,8,1,1360,2,224,2,204,2
43,44,11,1,1353,2,229,2,204,2
44,45,13,1,1354,2,240,2,204,2
45,46,15,1,1361,2,249,2,204,2
46,47,16,1,1361,2,257,2,204,2
47,48,17,1,1366,2,88,1,204,2
48,49,0,1,1377,1,260,2,205,2
49,50,12,1,1389,1,220,2,206,2
50,51,16,1,1400,1,210,2,206,2
51,52,16,1,1402,1,214,2,207,2
52,53,15,1,1418,1,207,2,207,2
53,54,12,1,1427,1,203,2,208,2
54,55,15,1,1428,1,213,2,208,2
55,56,14,1,1432,2,217,2,208,2
56,57,4,1,1425,1,228,2,208,2
57,58,9,1,1412,2,90,1,208,2
58,59,14,1,1407,2,254,2,208,2
59,60,15,1,1412,2,245,2,208,2
60,61,12,1,1410,2,246,2,207,2
61,62,11,1,1405,2,248,2,207,2
62,63,11,1,1399,2,244,2,207,2
63,64,10,1,1398,2,235,2,207,2
64,65,10,1,1395,2,231,2,207,2
65,66,10,1,1394,2,229,2,207,2
66,67,10,1,1388,2,226,2,207,2
67,68,9,1,1388,2,223,2,206,2
68,69,9,1,1384,2,219,2,205,2
69,70,8,1,1386,2,212,2,205,2
